content,url,title,relevance_score,themes,scraped_at
"On March 12, 2016, 22-year-old Thomas DiMassimo was arrested and charged with disorderly conduct as he broke over the police barricade and attempted to rush the stage during a rally in Dayton, Ohio. He was tackled by the Secret Service. On July 26, 2016, DiMassimo was sentenced to one year probation. This incident highlights the physical risks faced by political figures during public events, where attempts to disrupt or harm can escalate into serious threats against democratic leaders. Such actions reflect broader patterns of physical assaults on politicians in democracies, often stemming from intense political polarization.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,9,Physical assaults on politicians in democracies|Online threats against democratic leaders,2026-01-20T12:49:27.130290
"On June 18, 2016, Trump was giving a speech at the Treasure Island Hotel and Casino in Las Vegas, Nevada, as part of his presidential campaign. During the speech, Michael Steven Sandford, a 20-year-old British man, attempted to grab a Las Vegas Metropolitan Police officer's pistol. The officer quickly subdued Sandford, who was arrested and handed over to the United States Secret Service, where he expressed his desire to murder Trump. Sandford was sentenced to 12 months and one day's imprisonment, along with being fined $200. After becoming eligible for early release, Sandford was released and deported to the United Kingdom in May 2017. This case exemplifies historical instances of abuse towards democratic figures, involving premeditated attempts to assassinate elected officials.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Historical cases of abuse towards democratic figures,10,Physical assaults on politicians in democracies|Historical cases of abuse towards democratic figures,2026-01-20T12:49:27.130301
"On November 5, 2016, three days before the presidential election, Trump was speaking at a rally in Reno, Nevada, when a man in the crowd screamed 'gun'. This caused Trump to be rushed off stage by security, and the man was tackled by surrounding members of the crowd. The man, Austyn Crites, was subdued by Secret Service agents and searched, only to find that he was unarmed. Crites, a Republican who opposed Trump, was holding up a sign shortly before that stated 'Republicans against Trump'. Crites stated that others attempted to grab the sign and were booing him. After the scene was cleared and identified as safe, Trump returned to the stage minutes later and finished the speech without incident. This event underscores how rhetorical attacks and opposition in political discourse can lead to chaotic situations and perceived threats against leaders.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Rhetorical attacks in political discourse,7,Rhetorical attacks in political discourse|Online threats against democratic leaders,2026-01-20T12:49:27.130303
"On September 6, 2017, in Mandan, North Dakota, Gregory Lee Leingang stole a forklift from an oil refinery and attempted to drive it toward the presidential motorcade while Trump was visiting to rally public support. After the forklift became jammed within the refinery, he fled on foot and was arrested by the pursuing police. While interviewed in detention, Leingang admitted his intent to murder the president by flipping the presidential limousine with the stolen forklift, to the surprise of authorities, who had assumed he was stealing the vehicle for personal use. Leingang pleaded guilty to the attempted attack, stealing the forklift, related charges and several other unrelated crimes on the same day. Consequently, he was sentenced to 20 years in prison. His defense attorney noted a 'serious psychiatric crisis'. This incident represents a physical assault attempt on a sitting president, illustrating the vulnerabilities of democratic politicians to unconventional attacks.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,10,Physical assaults on politicians in democracies,2026-01-20T12:49:27.130305
"On October 1, 2018, an envelope containing castor beans, initially incorrectly being identified as ricin, was sent to Trump before being discovered by mailing facilities. Several other letters were sent to the Pentagon, all of them labeled on the front with 'Jack and the Missile Bean Stock Powder'. Two days later on October 3, a 39-year-old Utah Navy veteran named William... This poisoning attempt via mail demonstrates online or anonymous threats evolving into tangible dangers against democratic leaders, where individuals exploit postal systems to target elected officials, reflecting a form of abuse that circumvents direct confrontation but endangers political figures.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Online threats against democratic leaders,9,Online threats against democratic leaders|Physical assaults on politicians in democracies|Abusing democratic politicians,2026-01-20T12:49:27.130306
"A 50-year-old woman from Indiana was arrested in the District of Columbia on August 16, 2025, and charged with making violent threats against Trump. An Instagram account attributed to the woman had posted intent to ""sacrificially kill this POTUS by disemboweling him and cutting out his trachea with Liz Cheney and all The Affirmation present."" The account also referred to Trump as a terrorist and expressed a desire to avenge deaths that occurred due to his administration's COVID-19 policies. During an interview with the Secret Service, she claimed to have a bladed object which she would use to kill Trump. On the day of her arrest, the woman ""circumnavigated"" the White House complex as part of a protest.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Online threats against democratic leaders,10,Online threats against democratic leaders|Physical assaults on politicians in democracies,2026-01-20T12:49:27.130307
"On July 13, 2024, Thomas Crooks fired eight shots from an AR-15–style rifle at Trump while speaking at a rally near Butler, Pennsylvania. Trump was shot and wounded in his upper right ear before dropping to the ground and being shielded by the Secret Service. Crooks also killed one member of the audience, Corey Comperatore, as well as critically injuring two others, prior to being shot and killed by a member of the Secret Service Counter Sniper Team. The assassination attempt prompted the resignation of the director of the Secret Service, Kimberly Cheatle, as well as several ongoing investigations into the incident as a political assassination attempt as well as an act of domestic terrorism.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,10,Physical assaults on politicians in democracies,2026-01-20T12:49:27.130309
"On September 15, 2024, Ryan Wesley Routh was sighted wielding a rifle in bushes at the Trump International Golf Club in West Palm Beach, Florida, while Donald Trump was golfing at the club. A Secret Service officer shot at Routh, who fled, and was apprehended while driving away. The FBI was investigating it as an assassination attempt. Authorities later confirmed that Routh did wish to kill the former president. An indictment on April 7, 2025, revealed that Routh was planning the assassination attempt as early as February 2024 with an accomplice who called himself ""Ramiro"", who lived in Mexico. Routh's trial began on September 8, 2025, and he was found guilty on all counts on September 23. Routh faces life in prison, and his sentencing is scheduled for February 2026.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,10,Physical assaults on politicians in democracies,2026-01-20T12:49:27.130312
"Leingang stole a forklift from an oil refinery and attempted to drive it toward the presidential motorcade while Trump was visiting to rally public support. After the forklift became jammed within the refinery, he fled on foot and was arrested by the pursuing police. While interviewed in detention, Leingang admitted his intent to murder the president by flipping the presidential limousine with the stolen forklift, to the surprise of authorities, who had assumed he was stealing the vehicle for personal use. Leingang pleaded guilty to the attempted attack, stealing the forklift, related charges and several other unrelated crimes on the same day. Consequently, he was sentenced to 20 years in prison. His defense attorney noted a ""serious psychiatric crisis"".",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Historical cases of abuse towards democratic figures,9,Physical assaults on politicians in democracies,2026-01-20T12:49:27.130313
"On September 20, 2020, Pascale Cecile Veronique Ferrier was arrested in Buffalo, New York, while attempting to cross over the border to Canada. Ferrier, who is Canadian, wrote in a ricin-laced letter to Trump that he should drop out of the ongoing 2020 presidential election along with calling him an ""ugly tyrant clown"". She was charged with eight counts each of prohibitions with respect to biological weapons and making threats via interstate commerce and faced up to life in prison. On August 17, 2023, a US court sentenced Ferrier to nearly 22 years in prison.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Online threats against democratic leaders,9,Online threats against democratic leaders|Physical assaults on politicians in democracies,2026-01-20T12:49:27.130314
